X	Y	Z	FIELD_VALUE
0.3333333300	0.6666666700	0.7582080000	0.0039749691
0.3334572350	0.6665427600	0.7574586700	0.0039746540
0.3248832494	0.6493808147	0.7570341477	0.0039805915
0.3147215574	0.6290644736	0.7558904518	0.0040036577
0.3046470864	0.6089269994	0.7545525192	0.0040442192
0.2947502299	0.5891484305	0.7528958927	0.0041019255
0.2848533734	0.5693698616	0.7512392662	0.0041762864
0.2750156483	0.5497096878	0.7494912771	0.0042664823
0.2652177786	0.5301286864	0.7476850570	0.0043715690
0.2554461033	0.5105991988	0.7458420580	0.0044904565
0.2456908363	0.4911014823	0.7439767843	0.0046218243
0.2359449183	0.4716213240	0.7420993293	0.0047642894
0.2262032013	0.4521483332	0.7402169273	0.0049163315
0.2164618707	0.4326749722	0.7383347804	0.0050762270
0.2067181460	0.4131956778	0.7364567279	0.0052421646
0.1969696964	0.3937057401	0.7345860457	0.0054122005
0.1872096187	0.3741905352	0.7327329946	0.0055844657
0.1774495411	0.3546753304	0.7308799434	0.0057568813
0.1676823691	0.3351448597	0.7290376375	0.0059275265
0.1579075798	0.3155980907	0.7272068825	0.0060945163
0.1481248278	0.2960342625	0.7253883066	0.0062561207
0.1383338563	0.2764527991	0.7235824189	0.0064108106
0.1285344133	0.2568531028	0.7217897559	0.0065573561
0.1187261958	0.2372345364	0.7200108963	0.0066948382
0.1089089522	0.2175964787	0.7182464223	0.0068226719
0.0990827555	0.1979389128	0.7164964790	0.0069408049
0.0892497054	0.1782657671	0.7147582383	0.0070495447
0.0794294015	0.1586148727	0.7130033112	0.0071497080
0.0696090977	0.1389639783	0.7112483840	0.0072426118
0.0598935373	0.1195186072	0.7093470577	0.0073301408
0.0503050086	0.1003251429	0.7072822473	0.0074149052
0.0414121145	0.0825172659	0.7045111900	0.0075014973
0.0337957858	0.0672557784	0.7008658728	0.0075982160
0.0278546014	0.0553366777	0.6964681139	0.0077158100
0.0233765112	0.0463351538	0.6916301021	0.0078621239
0.0198884833	0.0393047598	0.6865792132	0.0080400077
0.0176407721	0.0347220181	0.6813442408	0.0082495973
0.0153930609	0.0301392765	0.6761092684	0.0084896365
0.0135954325	0.0264349230	0.6708281927	0.0087578746
0.0121404167	0.0233874280	0.6655192334	0.0090522463
0.0109595195	0.0208509885	0.6601924245	0.0093705936
0.0100085747	0.0187254279	0.6548536920	0.0097108007
0.0092600911	0.0169397871	0.6495067404	0.0100707421
0.0086994571	0.0154432235	0.6441540009	0.0104483521
0.0083234421	0.0141999620	0.6387971528	0.0108417223
0.0081403709	0.0131866752	0.6334374466	0.0112490288
0.0081742650	0.0123932774	0.6280759406	0.0116687710
0.0087894161	0.0120407348	0.6227149486	0.0120997483
0.0094045671	0.0116881922	0.6173539566	0.0125412271
0.0103970177	0.0115887831	0.6119960632	0.0129927365
0.0118618109	0.0117773466	0.6066449001	0.0134544629
0.0139210321	0.0123042531	0.6013064338	0.0139272760
0.0167245260	0.0132357936	0.5959903323	0.0144128693
0.0204456043	0.0146524191	0.5907116726	0.0149139826
0.0252678866	0.0166425289	0.5854925461	0.0154346500
0.0313603689	0.0192901911	0.5803625019	0.0159803981
0.0388435221	0.0226578246	0.5753563678	0.0165582336
0.0477695377	0.0267755144	0.5705101332	0.0171762770
0.0590572373	0.0321340989	0.5660035603	0.0178432078
0.0703449370	0.0374926835	0.5614969874	0.0185672863
0.0826961440	0.0434157649	0.5571800417	0.0193510109
0.0959284262	0.0498107445	0.5530405074	0.0201958723
0.1098678083	0.0565880482	0.5490584353	0.0210997732
0.1243636857	0.0636692197	0.5452108941	0.0220568509
0.1392930939	0.0709895440	0.5414753373	0.0230576031
0.1545588261	0.0784973905	0.5378313922	0.0240892428
0.1700852455	0.0861522468	0.5342615260	0.0251357994
0.1858139572	0.0939225960	0.5307511114	0.0261787531
0.2017012220	0.1017847325	0.5272885588	0.0271975082
0.2177803193	0.1097608272	0.5238854721	0.0281700044
0.2338594166	0.1177369219	0.5204823854	0.0290734209
0.2500161830	0.1257601325	0.5171038802	0.0298851953
0.2662317367	0.1338199164	0.5137441797	0.0305838082
0.2824907084	0.1419076023	0.5103984797	0.0311498614
0.2987801752	0.1500157230	0.5070626704	0.0315669722
0.3150872335	0.1581361527	0.5037325883	0.0318226364
0.3314089659	0.1662724012	0.5004072922	0.0319088213
0.3477306983	0.1744086497	0.4970819961	0.0318224599
0.3640352371	0.1825432019	0.4937510819	0.0315656580
0.3803213933	0.1906703188	0.4904141815	0.0311454359
0.3965760244	0.1987839278	0.4870670560	0.0305735256
0.4127862484	0.2068775109	0.4837056140	0.0298655321
0.4289368776	0.2149432912	0.4803251158	0.0290402971
0.4450093152	0.2229717594	0.4769198822	0.0281189547
0.4610817527	0.2310002277	0.4735146487	0.0271238014
0.4769623256	0.2389357290	0.4700499669	0.0260775784
0.4926858610	0.2467939357	0.4665378963	0.0250023375
0.5082103567	0.2545535922	0.4629673269	0.0239188112
0.5234801806	0.2621866304	0.4593243335	0.0228458057
0.5384240035	0.2696571054	0.4555923702	0.0217994605
0.5529511887	0.2769193602	0.4517523816	0.0207929753
0.5669485130	0.2839163684	0.4477834582	0.0198361537
0.5802790512	0.2905791649	0.4436644507	0.0189352855
0.5927861684	0.2968288589	0.4393768522	0.0180929214
0.6043062472	0.3025830450	0.4349088152	0.0173080772
0.6158263260	0.3083372311	0.4304407783	0.0165788460
0.6251632758	0.3129951329	0.4256452987	0.0158974902
0.6331590810	0.3169793510	0.4206909913	0.0152557121
0.6398482296	0.3203073884	0.4156093185	0.0146454810
0.6453258573	0.3230273637	0.4104319315	0.0140596617
0.6497357639	0.3252119436	0.4051870667	0.0134923890
0.6532422449	0.3269441023	0.3998969783	0.0129392921
0.6560071748	0.3283055285	0.3945776890	0.0123972853
0.6581764914	0.3293698021	0.3892400285	0.0118643488
0.6598745457	0.3301995625	0.3838910067	0.0113394521
0.6612034196	0.3308461463	0.3785350304	0.0108222519
0.6625322935	0.3314927300	0.3731790541	0.0103131292
0.6633158845	0.3318696505	0.3678159183	0.0098127701
0.6639263175	0.3321616692	0.3624512832	0.0093223932
0.6644065321	0.3323901611	0.3570857661	0.0088435402
